번호,구조일자,종류,품종,시군구,발생장소
1085,2020-05-22,고양이,코리안숏헤어,서구,변동 그린빌 인근
1086,2020-05-22,고양이,코리안숏헤어,서구,갈마동 지호빌라 인근
1087,2020-05-22,고양이,코리안숏헤어,유성,봉명동 548-12번지 24시동물의료센터 주변
1088,2020-05-22,고양이,코리안숏헤어,대덕,비래동 296번지 주변
1089,2020-05-22,개,믹스,중구,용두동 97-2번지 대전여민회 주변
1090,2020-05-22,고양이,코리안숏헤어,동구,가오동 한우리에프에스 인근
1091,2020-05-22,고양이,코리안숏헤어,동구,가오동 한우리에프에스 인근
1092,2020-05-22,개,프렌치불독,동구,용운동 훈이애견 인근
1093,2020-05-22,개,포메라이언,동구,판암주공1단지 인근
1094,2020-05-22,개,스피츠,동구,용전동 큰솔아파트 인근
1095,2020-05-22,고양이,코리안숏헤어,중구,정생동 정생보건소 주변
1096,2020-05-22,고양이,코리안숏헤어,중구,정생동 정생보건소 주변
1097,2020-05-22,고양이,코리안숏헤어,중구,정생동 정생보건소 주변
1098,2020-05-22,고양이,코리안숏헤어,중구,산성동 322-56번지 하나빌 주변
1099,2020-05-22,고양이,코리안숏헤어,중구,산성동 322-56번지 하나빌 주변
1100,2020-05-23,고양이,노르웨이숲 믹스,서구,용문동 청남빌 주차장 인근
1101,2020-05-23,개,믹스,서구,도솔산 도솔봉 정상 인근
1102,2020-05-23,고양이,아메리칸숏헤어,동구,이라와펫 삼성점 인근
1103,2020-05-23,개,퍼그,서구,변동 254-236 인근
1104,2020-05-23,개,믹스,서구,도안동 비앤아이 인근
1105,2020-05-23,개,보스턴테리어,중구,문화동 문화지구대 주변
1106,2020-05-23,개,믹스,중구,대사동 충남대학교병원 응급센터 주변
1107,2020-05-24,개,믹스,유성,궁동 충남대 노천극장 주변
1108,2020-05-24,개,믹스,유성,궁동 충남대 노천극장 주변
1109,2020-05-24,개,믹스,중구,선화동 403-32번지 주변
1110,2020-05-24,고양이,코리안숏헤어,서구,탄방동 한신교회 인근
1111,2020-05-24,개,코카스파니엘,서구,남선공원 인근
1112,2020-05-25,개,킹챨스스파니엘,서구,괴정동 청송빌라 인근
1113,2020-05-25,개,포메라이언,대덕,이현동 산 51-1번지 주변
1114,2020-05-25,개,코카스파니엘,중구,산성동 329-16 완도수산야채막회 주변
1115,2020-05-25,고양이,코리안숏헤어,서구,둔산동 수정타운 인근
1116,2020-05-26,개,말티즈,대덕,평촌1길 35 주변
1117,2020-05-26,개,포메라이언,대덕,법동 주공1단지 공사현장 경비실 주변
1118,2020-05-25,개,믹스,유성,학산로 29-14 주변
1119,2020-05-25,고양이,코리안숏헤어,유성,자운대 전투지원단 주변
1120,2020-05-26,기타,토끼,유성,도룡동 397-6번지 주변
1121,2020-05-26,개,푸들,유성,자운로97번길 431 235동 앞 경로당 주변
1122,2020-05-24,개,진도,동구,상소동 오토캠핑장 인근
1123,2020-05-25,개,비숑프리제,중구,유천동 유천약국 주변
1124,2020-05-22,개,말티즈,서구,용문동 한마음아파트 인근
1125,2020-05-24,개,진도,동구,성남동 석천들@ 101동 인근
1126,2020-05-25,고양이,하이랜드폴드,동구,가양동 송시열사당 인근
1127,2020-05-26,개,말티즈,중구,부사동 청란여고 주변
1128,2020-05-26,고양이,코리안숏헤어,유성,원내동 702-70번지 원내119안전센터 주변
1129,2020-05-26,고양이,코리안숏헤어,유성,원내동 702-70번지 원내119안전센터 주변
1130,2020-05-26,고양이,코리안숏헤어,중구,문화동 585-9번지 주변
1131,2020-05-26,고양이,코리안숏헤어,중구,문화동 585-9번지 주변
1132,2020-05-27,고양이,코리안숏헤어,중구,오류동 오룡역1번 출구 주변
1133,2020-05-26,고양이,코리안숏헤어,유성,궁동 충남대학교 정문 주변
1134,2020-05-26,개,포메라이언,유성,지족동 열매마을4단지 주변
1135,2020-05-27,개,프렌치불독,대덕,비래동 삼익둥지@ 103동 3.4라인 경비초소 주변
1136,2020-05-26,개,시츄,서구,흑석동 민원인자택 인근(노루벌1길 299)
1137,2020-05-26,고양이,코리안숏헤어,서구,둔산소방서 인근
1138,2020-05-26,고양이,코리안숏헤어,서구,둔산동 크로바빌딩 인근
1139,2020-05-26,개,말티즈,서구,내동 맑은아침@ 인근
1140,2020-05-27,개,푸들,대덕,대덕대로 1277번길 주변
1141,2020-05-27,개,믹스,중구,유천동 339-32번지 주변
1142,2020-05-27,개,치와와,중구,은행동 스카이로드 주변
1143,2020-05-27,개,말티즈,중구,목동 금호한사랑@ 주변
1144,2020-05-27,개,말티즈,중구,보문로 233번길 주변
1145,2020-05-28,개,푸들,유성,봉명동 자우리호텔 주변
1146,2020-05-28,개,말티즈,대덕,법동 한마음@ 105동 주변
1147,2020-05-27,고양이,코리안숏헤어,서구,변동 대전에어콘 인근
1148,2020-05-28,고양이,코리안숏헤어,서구,대전산업정보고등학교 인근
1149,2020-05-28,고양이,코리안숏헤어,서구,둔산동 꿈나무@ 인근
1150,2020-05-28,고양이,코리안숏헤어,서구,둔산동 꿈나무@ 인근
1151,2020-05-27,고양이,코리안숏헤어,동구,용전동 홈플러스 인근
1152,2020-05-27,고양이,코리안숏헤어,동구,용전동 홈플러스 인근
1153,2020-05-27,고양이,코리안숏헤어,동구,용전동 홈플러스 인근
1154,2020-05-27,개,진도,동구,용전동 신동아@ 인근
1155,2020-05-28,개,진도,동구,천동 천동@ 인근
1156,2020-05-28,고양이,코리안숏헤어,동구,우암송시열 사당 인근
1157,2020-05-29,고양이,코리안숏헤어,유성,갑동로 15번길 20-42 주변
1158,2020-05-29,고양이,코리안숏헤어,유성,갑동로 15번길 20-42 주변
1159,2020-05-29,고양이,코리안숏헤어,유성,갑동로 15번길 20-42 주변
1160,2020-05-29,고양이,코리안숏헤어,유성,갑동로 15번길 20-42 주변
1161,2020-05-28,개,보스턴테리어,서구,갈마주민센터 인근
1162,2020-05-28,고양이,코리안숏헤어,서구,서부교육청 인근
1163,2020-05-29,고양이,앙고라,서구,괴정동 GS편의점 인근
1164,2020-05-29,고양이,코리안숏헤어,서구,마크로동물병원 인근
1165,2020-05-29,고양이,코리안숏헤어,서구,탄방동 베이커비스킷 인근
1166,2020-05-29,고양이,코리안숏헤어,서구,탄방동 베이커비스킷 인근
1167,2020-05-29,고양이,코리안숏헤어,서구,탄방동 베이커비스킷 인근
1168,2020-05-29,고양이,코리안숏헤어,서구,탄방동 베이커비스킷 인근
1169,2020-05-28,개,믹스,중구,문화동 186-6번지 주변
1170,2020-05-28,개,푸들,대덕,송촌동 매봉초등학교 주변
1171,2020-05-28,고양이,코리안숏헤어,동구,삼성동 한밭자이@ 인근
1172,2020-05-28,개,시츄,동구,용전동 한국전력 인근
1173,2020-05-29,고양이,코리안숏헤어,유성,문화원로 131 투유@ 2차 주변
1174,2020-05-29,고양이,코리안숏헤어,중구,유천동 극동프라자 주변
1175,2020-05-30,고양이,코리안숏헤어,대덕,송촌남로19번길 36-1 주변
1176,2020-05-29,고양이,코리안숏헤어,중구,유천동 196번지 주변
1177,2020-05-29,개,믹스,동구,세천동 신상교 인근
1178,2020-05-29,개,믹스,동구,세천동 신상교 인근
1179,2020-05-29,개,믹스,동구,세천동 신상교 인근
1180,2020-05-29,개,믹스,동구,세천동 신상교 인근
1181,2020-05-29,개,믹스,서구,가수원파출소 인근
1182,2020-05-30,고양이,코리안숏헤어,서구,만년동 리체스오피스텔 인근
1183,2020-05-30,고양이,코리안숏헤어,서구,만년동 리체스오피스텔 인근
1184,2020-05-30,고양이,코리안숏헤어,서구,만년동 리체스오피스텔 인근
1185,2020-05-30,고양이,코리안숏헤어,서구,만년동 리체스오피스텔 인근
1186,2020-05-30,개,믹스,서구,다모아아파트 인근(최초발견 5/28 괴정동 서중학교 인근)
1187,2020-05-30,고양이,코리안숏헤어,서구,서부소방서 인근
1188,2020-05-31,고양이,코리안숏헤어,서구,갈마동 필식자재마트 인근
1189,2020-05-30,개,믹스,유성,대정동 드리움@ 2단지 관리사무소 주변
1190,2020-05-30,개,믹스,유성,대정동 드리움@ 2단지 관리사무소 주변
1191,2020-05-30,개,믹스,유성,대정동 드리움@ 2단지 관리사무소 주변
1192,2020-05-31,고양이,코리안숏헤어,유성,지족로190번길 15 주변
1193,2020-06-01,개,믹스,유성,계산동 수통골 주변
1194,2020-05-31,개,믹스,서구,시청역 8번출구 인근
1195,2020-06-01,고양이,코리안숏헤어,서구,관저동 1704 에코빌 인근
1196,2020-06-01,개,믹스,대덕,덕암동 삼부마을@ 주변
1197,2020-05-31,고양이,코리안숏헤어,중구,대흥동 447-4번지 주변
1198,2020-06-01,고양이,코리안숏헤어,중구,오류동 57-11번지 주변
1199,2020-06-01,개,믹스,중구,유천동 김가네소국밥집 주변
1200,2020-06-01,개,포메라이언,유성,봉명동 성심24동물병원 주변
1201,2020-06-01,고양이,코리안숏헤어,유성,죽동 본죽 주변
1202,2020-05-31,개,믹스,동구,대동 도레미 이용원 인근
1203,2020-06-02,고양이,코리안숏헤어,중구,사정동 오월드 주변
1204,2020-06-01,고양이,코리안숏헤어,유성,대정동 209-1번지 한진택배 주변
1205,2020-06-01,고양이,코리안숏헤어,유성,대정동 209-1번지 한진택배 주변
1206,2020-06-01,고양이,코리안숏헤어,유성,대정동 209-1번지 한진택배 주변
1207,2020-06-01,개,믹스,동구,대동 용운오토바이 인근
1208,2020-06-01,고양이,코리안숏헤어,서구,둔산동 수정@ 인근
1209,2020-06-01,개,시츄,서구,대신고등학교 인근
1210,2020-06-02,개,믹스,중구,부사동 굿모닝동물병원 주변
1211,2020-06-02,개,믹스,유성,복용동 558-9번지 주변
1212,2020-06-02,고양이,코리안숏헤어,유성,원신흥동 532-8번지 주변
1213,2020-06-02,고양이,코리안숏헤어,서구,도마동 서현교회 인근
1214,2020-06-02,개,믹스,서구,원앙마을 인근
1215,2020-06-02,개,믹스,서구,원앙마을 인근
1216,2020-06-02,개,믹스,서구,원앙마을 인근
1217,2020-06-02,개,시츄,서구,내동지구대 인근
1218,2020-06-02,개,시츄,서구,용문동 이마트24 인근
1219,2020-06-02,개,말티즈,중구,대흥동 GS25 대흥본점 주변
1220,2020-06-03,고양이,코리안숏헤어,유성,원신흥남로 51 도안고등학교 행정실 주변
1221,2020-06-03,고양이,코리안숏헤어,유성,원신흥남로 51 도안고등학교 행정실 주변
1222,2020-06-03,고양이,코리안숏헤어,유성,원신흥남로 51 도안고등학교 행정실 주변
1223,2020-06-02,개,믹스,대덕,비래동 비래초등학교 주변
1224,2020-06-02,개,시츄,서구,도마동 경남@ 인근
1225,2020-06-02,개,미니핀,서구,괴정동 KT연수원 인근
1226,2020-06-03,고양이,코리안숏헤어,유성,관평동 669 신동아파밀리에 510동 지하주차장
1227,2020-06-03,개,포메라이언,유성,노은동 555-2번지 건설근로취업센터 주변
1228,2020-06-03,고양이,코리안숏헤어,대덕,대청로 424번길 200 로하스캠핑장 주변
1229,2020-06-03,개,푸들,서구,갈마동 다목적복지회관 인근
1230,2020-06-02,개,스피츠,동구,용전복합터미널 인근
1231,2020-06-02,개,스피츠,동구,용전복합터미널 인근
1232,2020-06-03,고양이,코리안숏헤어,동구,삼성동 삼우빌라 인근
1233,2020-06-03,고양이,코리안숏헤어,동구,삼성동 삼우빌라 인근
1234,2020-06-03,고양이,코리안숏헤어,동구,삼성동 보건소 인근
1235,2020-06-02,개,믹스,서구,도마동 서현교회 인근
1236,2020-06-04,개,치와와,서구,괴정동 건원빌라 인근
1237,2020-06-04,고양이,코리안숏헤어,서구,괴정주유소 인근
1238,2020-06-04,고양이,코리안숏헤어,서구,괴정주유소 인근
1239,2020-06-04,고양이,코리안숏헤어,서구,괴정주유소 인근
1240,2020-06-04,고양이,코리안숏헤어,서구,괴정주유소 인근
1241,2020-06-04,고양이,코리안숏헤어,서구,탄방119안전센터 인근
1242,2020-06-04,고양이,코리안숏헤어,서구,둔산동 달봉이치킨 인근
1243,2020-06-03,고양이,코리안숏헤어,동구,삼성동 삼우빌라 인근
1244,2020-06-03,개,믹스,동구,세천 종합철물건재 인근
1245,2020-06-03,고양이,코리안숏헤어,동구,대동오거리 인근
1246,2020-06-04,고양이,코리안숏헤어,중구,옥계동 6-6번지 주변
1247,2020-06-04,개,라이카,중구,용두동 146-12번지 건명하우스 주변
1248,2020-06-04,기타,토끼,중구,선화동 양지근린공원 주변
1249,2020-06-04,기타,토끼,동구,용운동 성인빌라 인근
1250,2020-06-04,개,웰시코기,유성,봉명동 607-4번지 앤터팰리스 주변
1251,2020-06-04,개,믹스,서구,괴정동 맑은아침@ 인근
1252,2020-06-05,개,믹스,서구,갈마동 CU편의점 인근
1253,2020-06-04,개,프렌치불독,유성,구암동 681-4번지 주변
1254,2020-06-04,고양이,코리안숏헤어,유성,봉명동 464-23번지 용화빌라 가.나동 주변
1255,2020-06-05,고양이,코리안숏헤어,대덕,오정동 대연철강 주변
1256,2020-06-04,고양이,코리안숏헤어,동구,판암동 천사유치원 인근
1257,2020-06-04,고양이,코리안숏헤어,동구,판암동 천사유치원 인근
1258,2020-06-05,고양이,코리안숏헤어,서구,둔산동 둥지아파트 인근
1259,2020-06-05,개,푸들,중구,부사동 민영@ 주변
1260,2020-06-05,고양이,코리안숏헤어,중구,안영동 701-1번지 주변
1261,2020-06-06,개,말티즈,유성,봉명동 536-1번지 주변
1262,2020-06-05,고양이,페르시안,중구,산성동 304-10번지 삼화빌라 주변
1263,2020-06-06,개,시츄,대덕,벚꽃길 150번길 주변
1264,2020-06-05,고양이,코리안숏헤어,서구,변동 모닝빌 인근
1265,2020-06-05,개,닥스훈트,서구,가수원파출소 인근
1266,2020-06-06,고양이,코리안숏헤어,서구,도마동 용화어린이공원 인근
1267,2020-06-06,고양이,코리안숏헤어,서구,도마동 용화어린이공원 인근
1268,2020-06-06,고양이,코리안숏헤어,서구,도마동 용호어린이공원 인근
1269,2020-06-06,고양이,코리안숏헤어,서구,도마동 용호어린이공원 인근
1270,2020-06-07,개,말티즈,서구,도마동 원그린빌 인근
1271,2020-06-06,개,리트리버,대덕,문평동 ㈜두하공장 주변
1272,2020-06-06,개,리트리버,대덕,문평동 ㈜두하공장 주변
1273,2020-06-05,고양이,코리안숏헤어,대덕,중리동 387-1번지 주변
1274,2020-06-07,개,푸들,동구,남대전장례식장 인근
1275,2020-06-07,개,세퍼드,유성,장동 14-2번지 주변
1276,2020-06-07,개,말티즈,유성,도안동로523번길 베르디움 주변
1277,2020-06-07,고양이,코리안숏헤어,중구,부사동 366번지 주변
1278,2020-06-07,개,스피츠,중구,태평동 버드내 2단지 주변
1279,2020-06-07,고양이,코리안숏헤어,중구,수침로68번길 주변
1280,2020-06-07,개,말티즈,중구,태평동 복수한우식당 주변
1281,2020-06-06,개,푸들,중구,문창시장 주변
1282,2020-06-06,고양이,코리안숏헤어,중구,수침로66번길 12-1 주변
